step:1/1794 for epoch:1/12 | train loss:2.7742 | train acc:0.0625 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:2/1794 for epoch:1/12 | train loss:2.6377 | train acc:0.1016 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:3/1794 for epoch:1/12 | train loss:2.5993 | train acc:0.0859 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:4/1794 for epoch:1/12 | train loss:2.6056 | train acc:0.1016 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:5/1794 for epoch:1/12 | train loss:2.6344 | train acc:0.1094 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:6/1794 for epoch:1/12 | train loss:2.6221 | train acc:0.1094 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:7/1794 for epoch:1/12 | train loss:2.6730 | train acc:0.1016 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:8/1794 for epoch:1/12 | train loss:2.6354 | train acc:0.0625 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:9/1794 for epoch:1/12 | train loss:2.6139 | train acc:0.1016 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:10/1794 for epoch:1/12 | train loss:2.6004 | train acc:0.0703 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:11/1794 for epoch:1/12 | train loss:2.5799 | train acc:0.0703 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
