step:1/14351 for epoch:1/12 | train loss:2.7081 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:2/14351 for epoch:1/12 | train loss:2.7081 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:3/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:4/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0000 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:5/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:6/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1875 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:7/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1875 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:8/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:9/14351 for epoch:1/12 | train loss:2.7081 | train acc:0.0625 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:10/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0625 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:11/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0625 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:12/14351 for epoch:1/12 | train loss:2.7081 | train acc:0.0625 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:13/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1875 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:14/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0625 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:15/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0625 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:16/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1875 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:17/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:18/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1875 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:19/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0000 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:20/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1875 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:21/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:22/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1875 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:23/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
